Genus,Class,Family
Acanthodium,Dicotyledons,ACANTHACEAE
Acanthopale,Dicotyledons,ACANTHACEAE
Acanthopsis,Dicotyledons,ACANTHACEAE
Acanthostelma,Dicotyledons,ACANTHACEAE
Acanthura,Dicotyledons,ACANTHACEAE
Acanthus,Dicotyledons,ACANTHACEAE
Acelica,Dicotyledons,ACANTHACEAE
Achyrocalyx,Dicotyledons,ACANTHACEAE
Adelaster,Dicotyledons,ACANTHACEAE
Adenacanthus,Dicotyledons,ACANTHACEAE
Adenostachya,Dicotyledons,ACANTHACEAE
Adhatoda,Dicotyledons,ACANTHACEAE
Aechmanthera,Dicotyledons,ACANTHACEAE
Afrofittonia,Dicotyledons,ACANTHACEAE
Afromendoncia,Dicotyledons,ACANTHACEAE
Amathea,Dicotyledons,ACANTHACEAE
Ambongia,Dicotyledons,ACANTHACEAE
Amphiestes,Dicotyledons,ACANTHACEAE
Amphiscopia,Dicotyledons,ACANTHACEAE
Ancalanthus,Dicotyledons,ACANTHACEAE
Ancistranthus,Dicotyledons,ACANTHACEAE
Ancylacanthus,Dicotyledons,ACANTHACEAE
Androcentrum,Dicotyledons,ACANTHACEAE
Andrographis,Dicotyledons,ACANTHACEAE
Angkalanthus,Dicotyledons,ACANTHACEAE
Anisacanthus,Dicotyledons,ACANTHACEAE
Anisosepalum,Dicotyledons,ACANTHACEAE
Anisostachya,Dicotyledons,ACANTHACEAE
Anisotes,Dicotyledons,ACANTHACEAE
Anomacanthus,Dicotyledons,ACANTHACEAE
Anthacanthus,Dicotyledons,ACANTHACEAE
Antheliacanthus,Dicotyledons,ACANTHACEAE
Apassalus,Dicotyledons,ACANTHACEAE
Aphanandrium,Dicotyledons,ACANTHACEAE
Aphanosperma,Dicotyledons,ACANTHACEAE
Aphelandra,Dicotyledons,ACANTHACEAE
Aphelandrella,Dicotyledons,ACANTHACEAE
Aphragmia,Dicotyledons,ACANTHACEAE
Apolepsis,Dicotyledons,ACANTHACEAE
Arrhostoxylum,Dicotyledons,ACANTHACEAE
Ascotheca,Dicotyledons,ACANTHACEAE
Asteracantha,Dicotyledons,ACANTHACEAE
Asystasia,Dicotyledons,ACANTHACEAE
Asystasiella,Dicotyledons,ACANTHACEAE
Aulojusticia,Dicotyledons,ACANTHACEAE
Averia,Dicotyledons,ACANTHACEAE
Ballochia,Dicotyledons,ACANTHACEAE
Baphicacanthus,Dicotyledons,ACANTHACEAE
Barleria,Dicotyledons,ACANTHACEAE
Barleriacanthus,Dicotyledons,ACANTHACEAE
Barlerianthus,Dicotyledons,ACANTHACEAE
Barleriola,Dicotyledons,ACANTHACEAE
Barleriosiphon,Dicotyledons,ACANTHACEAE
Barlerites,Dicotyledons,ACANTHACEAE
Beloperone,Dicotyledons,ACANTHACEAE
Benoicanthus,Dicotyledons,ACANTHACEAE
Bentia,Dicotyledons,ACANTHACEAE
Berginia,Dicotyledons,ACANTHACEAE
Blechum,Dicotyledons,ACANTHACEAE
Blepharacanthus,Dicotyledons,ACANTHACEAE
Blepharis,Dicotyledons,ACANTHACEAE
Borneacanthus,Dicotyledons,ACANTHACEAE
Boutonia,Dicotyledons,ACANTHACEAE
Brachystephanus,Dicotyledons,ACANTHACEAE
Bravaisia,Dicotyledons,ACANTHACEAE
Bremekampia,Dicotyledons,ACANTHACEAE
Brillantaisia,Dicotyledons,ACANTHACEAE
Brochosiphon,Dicotyledons,ACANTHACEAE
Brunoniella,Dicotyledons,ACANTHACEAE
Buceragenia,Dicotyledons,ACANTHACEAE
Butayea,Dicotyledons,ACANTHACEAE
Buteraea,Dicotyledons,ACANTHACEAE
Calacanthus,Dicotyledons,ACANTHACEAE
Calliaspidia,Dicotyledons,ACANTHACEAE
Calophanes,Dicotyledons,ACANTHACEAE
Calophanoides,Dicotyledons,ACANTHACEAE
Calycacanthus,Dicotyledons,ACANTHACEAE
Calymmostachya,Dicotyledons,ACANTHACEAE
Camarotea,Dicotyledons,ACANTHACEAE
Cardanthera,Dicotyledons,ACANTHACEAE
Cardiacanthus,Dicotyledons,ACANTHACEAE
Carlowrightia,Dicotyledons,ACANTHACEAE
Carvia,Dicotyledons,ACANTHACEAE
Celerina,Dicotyledons,ACANTHACEAE
Centrilla,Dicotyledons,ACANTHACEAE
Cephalacanthus,Dicotyledons,ACANTHACEAE
Chaetacanthus,Dicotyledons,ACANTHACEAE
Chaetochlamys,Dicotyledons,ACANTHACEAE
Chaetothylax,Dicotyledons,ACANTHACEAE
Chaetothylopsis,Dicotyledons,ACANTHACEAE
Chalarothyrsus,Dicotyledons,ACANTHACEAE
Chamaeranthemum,Dicotyledons,ACANTHACEAE
Championella,Dicotyledons,ACANTHACEAE
Cheilopsis,Dicotyledons,ACANTHACEAE
Chileranthemum,Dicotyledons,ACANTHACEAE
Chiloglossa,Dicotyledons,ACANTHACEAE
Chingiacanthus,Dicotyledons,ACANTHACEAE
Chlamydacanthus,Dicotyledons,ACANTHACEAE
Chlamydocardia,Dicotyledons,ACANTHACEAE
Chlamydostachya,Dicotyledons,ACANTHACEAE
Chrestienia,Dicotyledons,ACANTHACEAE
Chroesthes,Dicotyledons,ACANTHACEAE
Clinacanthus,Dicotyledons,ACANTHACEAE
Clistax,Dicotyledons,ACANTHACEAE
Codonacanthus,Dicotyledons,ACANTHACEAE
Conocalyx,Dicotyledons,ACANTHACEAE
Copioglossa,Dicotyledons,ACANTHACEAE
Corymbostachys,Dicotyledons,ACANTHACEAE
Cosmianthemum,Dicotyledons,ACANTHACEAE
Crabbea,Dicotyledons,ACANTHACEAE
Croftia,Dicotyledons,ACANTHACEAE
Crossandra,Dicotyledons,ACANTHACEAE
Crossandrella,Dicotyledons,ACANTHACEAE
Cryptophragmium,Dicotyledons,ACANTHACEAE
Ctenopaepale,Dicotyledons,ACANTHACEAE
Cyclacanthus,Dicotyledons,ACANTHACEAE
Cylindrosolenium,Dicotyledons,ACANTHACEAE
Cyphacanthus,Dicotyledons,ACANTHACEAE
Cyphisia,Dicotyledons,ACANTHACEAE
Cyrtanthera,Dicotyledons,ACANTHACEAE
Cyrtantherella,Dicotyledons,ACANTHACEAE
Cystacanthus,Dicotyledons,ACANTHACEAE
Dactylostegium,Dicotyledons,ACANTHACEAE
Daedalacanthus,Dicotyledons,ACANTHACEAE
Danguya,Dicotyledons,ACANTHACEAE
Dasytropis,Dicotyledons,ACANTHACEAE
Delphinacanthus,Dicotyledons,ACANTHACEAE
Dianthera,Dicotyledons,ACANTHACEAE
Diateinacanthus,Dicotyledons,ACANTHACEAE
Dicentranthera,Dicotyledons,ACANTHACEAE
Dichazothece,Dicotyledons,ACANTHACEAE
Dicladanthera,Dicotyledons,ACANTHACEAE
Dicliptera,Dicotyledons,ACANTHACEAE
Dicranacanthus,Dicotyledons,ACANTHACEAE
Didyplosandra,Dicotyledons,ACANTHACEAE
Diflugossa,Dicotyledons,ACANTHACEAE
Dimanisa,Dicotyledons,ACANTHACEAE
Dinteracanthus,Dicotyledons,ACANTHACEAE
Diotacanthus,Dicotyledons,ACANTHACEAE
Dipteracanthus,Dicotyledons,ACANTHACEAE
Dischistocalyx,Dicotyledons,ACANTHACEAE
Disperma,Dicotyledons,ACANTHACEAE
Distichocalyx,Dicotyledons,ACANTHACEAE
Ditrichospermum,Dicotyledons,ACANTHACEAE
Dolichostachys,Dicotyledons,ACANTHACEAE
Dossifluga,Dicotyledons,ACANTHACEAE
Drejera,Dicotyledons,ACANTHACEAE
Drejerella,Dicotyledons,ACANTHACEAE
