name,oil
Hovenia dulcis ,0.0138
Acanthus hirsutus Boiss. ,0.025
name.csvAcanthus mollis L.,0.012
Acanthus syriacus Boiss.,0.023
Acer argutum Maxim.,0.023
Acer buergerianum Miq. ,0.095
Acer cissifolium (Siebold & Zucc.) K.Koch ,0.174
Acer japonicum Thunb.,0.106
Acer negundo L.,0.282
Acer rubrum L.,0.039
Actinolema macrolema Boiss.,0.484
Adenophora lilifolia Ledeb.,0.351
Adenophora potaninii Korsh. ,0.37
Agastache rugosa (Fisch. & C.A.Mey.) Kuntze ,0.3377
Agastache urticifolia (Benth.) Kuntze,0.3155
Agave geminiflora (Tagl.) Ker Gawl.,0.128
Agave lecheguilla Torr. ,0.174
Agave parryi Engelm.,0.251
Agave potreriana Trel. ,0.181
Agave schottii Engelm.,0.214
Agrostemma githago L. ,0.068
Ajuga iva (L.) Schreb.,0.18
Akebia quinata (Houtt.) Decne.,0.289
Akebia trifoliata (Thunb.) Koidz.,0.389
Alisma plantago-aquatica L.,0.042
Allium cepa L.,0.1895
Allium drummondii Regel,0.177
Allium paniculatum L. ,0.113
Allium rotundum L.,0.153
Alnus cordata (Loisel.) Loisel.,0.2
Alnus glutinosa (L.) Gaertn. ,0.117
Alnus incana (L.) Moench,0.098
Alonsoa warscewiczii Regel,0.262
Alternanthera sessilis (L.) R.Br.,0.114
Amaranthus albus L.,0.076
Amaranthus blitoides S.Watson ,0.068
Amaranthus caudatus L. ,0.065
Ambrosia elatior L.,0.183
Ambrosia trifida L. ,0.223 
Amethystea caerulea L.,0.23
Ammi majus L.,0.131
Ammi visnaga (L.) Lam.,0.1697
Ammoselinum popei Torr. & A.Gray,0.0885
Amoreuxia palmatifida Moc. & Sessé ex DC. ,0.14
Amsonia elliptica,0.1526
Anagallis arvensis L. ,0.192
Androsace maxima L.,0.089
Anethum graveolens L. ,0.129
Angelica archangelica L.,0.196 
Angelica dahurica (Fisch. ex Hoffm.) Benth. & Hook.f. ex Franch. & Sav. ,0.0821
Angelica gigas Nakai ,0.1058
Anisoptera costata Korth.,0.332
Antirrhinum majus L.,0.3955
